artist,title,pop_date,pop_peakPos,pop_lastPos,pop_weeks,pop_rank,pop_change,rnb_date,rnb_peakPos,rnb_lastPos,rnb_weeks,rnb_rank,rnb_change
Mariah Carey,Obsessed,12/19/09,8,35,19,38,-3,11/14/09,12,46,20,50,-4
"Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo",Sugar (Gimme Some),9/3/05,4,29,26,31,-2,4/9/05,36,41,16,49,-8
Snoop Dogg,Sensual Seduction,4/12/08,19,30,11,36,-6,6/14/08,5,49,30,50,-1
All Saints,Never Ever,12/19/98,3,12,28,14,-2,6/20/09,9,24,20,33,-9
Fifth Harmony,Sledgehammer,2/21/15,21,24,12,29,-5,7/23/16,36,46,2,36,10
Xscape,Just Kickin  It,1/22/94,27,39,12,37,2,2/26/94,1,36,25,45,-9
Monica,Angel Of Mine,7/3/99,5,29,26,28,1,5/22/99,2,46,29,50,-4
Terror Squad,Lean Back,12/11/04,13,38,16,39,-1,2/26/05,1,40,41,50,-10
One Direction,You & I,7/19/14,21,31,10,39,-8,3/23/13,46,47,15,47,0
Natalie Imbruglia,Torn,10/10/98,1,20,33,20,0,10/21/06,2,41,32,46,-5
Brooke Valentine Featuring Lil Jon & Big Boi,Girlfight,7/16/05,30,32,8,39,-7,6/18/05,13,38,21,47,-9
Mark Morrison,Return Of The Mack,10/4/97,3,23,26,22,1,10/25/97,4,47,41,49,-2
OutKast,Hey Ya!,4/17/04,1,16,27,19,-3,4/3/04,9,33,21,47,-14
Sean Paul Featuring Keyshia Cole,When You Gonna (Give It Up To Me),7/22/06,30,32,5,30,2,7/22/06,21,28,9,22,6
98 Degrees,Invisible Man,12/27/97,12,35,23,39,-4,10/11/97,38,45,20,45,0
Chris Brown Featuring Lil' Wayne,Gimme That,9/2/06,22,39,16,40,-1,8/26/06,5,39,19,45,-6
Twista,Overnight Celebrity,7/31/04,23,33,9,39,-6,8/28/04,2,37,26,37,0
50 Cent Featuring Justin Timberlake & Timbaland,Ayo Technology,1/26/08,11,30,20,33,-3,11/3/07,41,41,11,44,-3
Robyn,Do You Know (What It Takes),11/8/97,3,23,26,24,-1,8/16/97,33,43,17,44,-1
Zedd & Alessia Cara,Stay,3/18/17,29,0,1,29,Hot Shot Debut,8/18/12,36,49,54,49,0
Natalie La Rose Featuring Fetty Wap,Around The World,8/29/15,31,31,7,35,-4,9/5/15,30,30,7,44,-14
Monifah,Touch It,4/10/99,13,39,26,38,1,6/10/06,9,31,33,40,-9
Snoop Dogg Featuring The-Dream,Gangsta Luv,2/20/10,39,39,3,39,0,2/6/10,24,28,16,47,-19
The Cranberries,Dreams,7/2/94,33,0,10,40,Re-Entry,8/27/05,12,34,14,37,-3
Mariah Carey,We Belong Together,10/29/05,1,16,26,21,-5,3/25/06,1,46,52,47,-1
Kanye West,All Of The Lights,5/21/11,38,40,3,38,2,10/1/11,2,47,42,45,2
Prince,Pink Cashmere,10/30/93,30,30,4,33,-3,11/20/93,14,28,15,43,-15
Ray J,One Wish,4/22/06,16,36,20,40,-4,4/8/06,3,39,31,30,9
Ludacris Featuring Shawnna,Stand Up,5/1/04,9,37,26,40,-3,3/20/04,1,45,32,46,-1
Fetty Wap,Trap Queen,9/5/15,20,38,20,40,-2,11/28/15,2,10,44,8,2
Nicki Minaj Featuring Rihanna,Fly,1/28/12,29,34,16,40,-6,11/19/11,39,30,11,36,-6
Shai,If I Ever Fall In Love,4/3/93,5,36,20,36,0,3/27/93,1,43,25,50,-7
Enrique Iglesias,Be With You,9/16/00,6,36,26,35,1,1/22/11,44,46,7,49,-3
Young Money Featuring Lloyd,BedRock,6/19/10,6,32,20,38,-6,5/15/10,2,37,29,48,-11
Alicia Keys,Fallin',2/9/02,1,29,26,30,-1,12/8/01,1,45,32,47,-2
Beyonce Featuring Jay-Z,Crazy In Love,11/29/03,1,29,26,30,-1,11/8/03,1,36,25,38,-2
Rihanna,Take A Bow,9/27/08,1,17,25,19,-2,11/29/08,40,37,30,45,-8
